slug,model,field_id,label_fr,label_en,section,external_model,external_model_display_keys,is_controled,reference_table,vocab,translation,multiple,constraint,datatype,is_indexed,is_facet,ADMIN_scope_order,PAGE_LIST_scope_order,PAGE_ITEM,FILTER_page_scope_order,mandatory,editable,commentable,description_fr,description_en
volume,dataset,datasets.volume,Volume,Volume,TECH,,,False,,,False,False,None,str,False,False,48,-1,44,-1,False,True,False,Volumétrie des données,
year,dataset,datasets.year,Année  ,Year,TECH,,,False,,,False,True,None,str,False,True,49,17,45,17,False,True,False,Profondeur d'historique disponible ,
is_geospatial_data,dataset,datasets.is_geospatial_data,Données géospatiales / géolocalisée,Geospatial Geolocalized data,GEO,,,False,,,False,False,Bool,bool,False,True,50,18,46,18,False,True,Field,Les données sont elles géospatialisées/géolocalisées ?,
administrative_territory_coverage,dataset,datasets.administrative_territory_coverage,Couverture administrative  territoriale,Administrative Territory Coverage,GEO,reference,name,True,administrative_territory_coverage,,False,True,oneOf,str,False,False,51,-1,47,-1,False,True,False,Région géographique couverte par le jeu de données,
geographical_information_level,dataset,datasets.geographical_information_level,Niveau d’information géographique,Geographical information level,GEO,reference,name,True,geographical_geospatial_information_level,,True,True,oneOf,str,False,False,52,-1,48,-1,False,True,False,"Unité d’information géographique, Niveau d’information géographique : Pays / Région / Département / Intercommunalité / Ville / Quartier / Ilot IRIS INSEE/ Carreau INSEE / coordonnées xy / Type d'espace administratif ou autre",
projection_system,dataset,datasets.projection_system,Système de Projection,Projection System,GEO,reference,name,True,projection_system,,False,True,oneOf,str,False,False,53,-1,49,-1,False,True,False,"Si géolocalisée , avec quel système de projection?",
related_geographical_information,dataset,datasets.related_geographical_information,Référentiels géographiques associés,Related Geographical References,GEO,,,False,,,False,False,Bool,bool,False,False,54,-1,50,-1,False,True,False,Référentiel(s) géographique(s) associé(s)?,
geographical_geospatial_coverage,dataset,datasets.geographical_geospatial_coverage,Couverture géographique/géospatial,Spatial /Geographical Coverage,GEO,reference,name,True,geographical_geospatial_coverage,DCAT,True,True,oneOf,str,False,False,55,-1,51,-1,False,True,False,Région géographique couverte par le jeu de données (DCAT-AP),
geospatial_comments,dataset,datasets.geospatial_comments,Commentaires géographiques,Geospatial Geolocalized comments,GEO,comment,username|date|text,False,,,False,True,None,dict,False,False,56,-1,52,-1,False,True,Section,Commentaires ajoutant des détails sur l’aspect géospatialisés des données,
comments,dataset,datasets.comments,Commentaires généraux,Comments,COMMON,comment,username|date|text,False,,,False,True,None,dict,False,False,57,-1,53,-1,False,True,General,Commentaires généraux sur le jeu de données,
qualification_comments,dataset,datasets.qualification_comments,Commentaires sur le qualification,Subject comments,DATA,comment,username|date|text,False,,,False,True,None,dict,False,False,58,-1,54,-1,False,True,Section,Commentaires sur la qualification en Santé Environnement,
context_comments,dataset,datasets.context_comments,Contexte de production,Production context,COMMON,comment,username|date|text,False,,,True,True,None,dict,False,False,59,-1,55,-1,False,True,Section,Commentaires sur le contexte de production du JDD,
_id,organization,organizations._id,id,id,COMMON,,,False,,,False,False,unique,id,False,False,1,-1,-1,-1,False,False,False,,
organization_type,organization,organizations.organization_type,Type d’organisation,Organization_type,COMMON,reference,name,True,organization_type,,True,False,oneOf,dict,False,True,6,5,5,1,True,True,False,Type d'organisme gestionnaire des données,
